date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:09	7851/7851	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2008:02:55%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/phong-van.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/phong-van.png	(from https://28tech.com.vn/cau-truc-du-lieu-va-giai-thuat)
08:39:09	822288/822288	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202024%2017:10:32%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c%e1%ba%a5u%20tr%c3%bac%20d%e1%bb%af%20li%e1%bb%87u%20_%20gi%e1%ba%a3i%20thu%e1%ba%adt%202024.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c%e1%ba%a5u%20tr%c3%bac%20d%e1%bb%af%20li%e1%bb%87u%20_%20gi%e1%ba%a3i%20thu%e1%ba%adt%202024.png	(from https://28tech.com.vn/cau-truc-du-lieu-va-giai-thuat)
08:39:10	7255/7255	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jan%202024%2008:53:10%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/cup.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/cup.png	(from https://28tech.com.vn/lap-trinh-thi-dau)
08:39:13	877725/877725	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Feb%202025%2014:29:48%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/la%cc%a3%cc%82p%20tri%cc%80nh%20thi%20%c4%91a%cc%82%cc%81u.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/la%cc%a3%cc%82p%20tri%cc%80nh%20thi%20%c4%91a%cc%82%cc%81u.png	(from https://28tech.com.vn/lap-trinh-thi-dau)
08:39:13	6143/6143	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Jan%202024%2018:17:55%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/java.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/java.png	(from https://28tech.com.vn/lap-trinh-huong-doi-tuong-voi-java)
08:39:13	744112/744112	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202025%2016:38:11%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20h%c6%b0%e1%bb%9bng%20%c4%91%e1%bb%91i%20t%c6%b0%e1%bb%a3ng%20java.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20h%c6%b0%e1%bb%9bng%20%c4%91%e1%bb%91i%20t%c6%b0%e1%bb%a3ng%20java.png	(from https://28tech.com.vn/lap-trinh-huong-doi-tuong-voi-java)
08:39:13	799425/799425	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jan%202024%2008:18:00%20GMT	https://cdn-main.28tech.com.vn/media/khoa%20hoc%20lap%20trinh%20thi%20dau.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/khoa%20hoc%20lap%20trinh%20thi%20dau.png	(from https://28tech.com.vn/lap-trinh-thi-dau)
08:39:14	812533/812533	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202024%2017:10:30%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20java%20_%20sql%202024.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20java%20_%20sql%202024.png	(from https://28tech.com.vn/lap-trinh-huong-doi-tuong-voi-java)
08:39:14	7001/7001	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Jan%202024%2007:59:27%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/doi-nganh.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/doi-nganh.png	(from https://28tech.com.vn/lap-trinh-front-end)
08:39:17	927955/927955	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202025%2016:38:13%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20front-end.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20front-end.png	(from https://28tech.com.vn/lap-trinh-front-end)
